INSTNM,STABBR,REGION,C200_4,RET_FT4_POOLED,ADM_RATE_ALL,C150_4,UGDS,PCTFLOAN,TRANS_4_POOLED,CCUGPROF,CONTROL,CCSIZSET,NPT41_PRIV,NPT42_PRIV,NPT43_PRIV,NPT44_PRIV,NPT45_PRIV,MD_EARN_WNE_P10,PCT25_EARN_WNE_P10,PCT75_EARN_WNE_P10,SD_EARN_WNE_P10,AVGFACSAL,INC_PCT_LO,DEP_STAT_PCT_IND,PAR_ED_PCT_1STGEN
Brown Mackie College-Findlay,OH,3,NULL,NULL,NULL,0.1756,128,0.8785,0.0022,11,3,6,NULL,NULL,NULL,NULL,NULL,29400,16900,42500,20300,5342,0.7125425653,0.6569239501,0.4887650235
Toledo Academy of Beauty Culture-East,OH,3,NULL,NULL,NULL,NULL,91,0.4463,NULL,-2,3,-2,9870,11915,13577,NULL,NULL,15600,PrivacySuppressed,PrivacySuppressed,14600,NULL,0.8552631579,0.7894736842,0.6034482759
U S Grant Joint Vocational School,OH,3,NULL,NULL,NULL,NULL,33,0,NULL,-2,1,-2,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Chisholm Trail Technology Center,OK,6,NULL,NULL,NULL,NULL,33,0,NULL,-2,1,-2,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,0.7027027027,PrivacySuppressed,PrivacySuppressed
Gordon Cooper Technology Center,OK,6,NULL,NULL,NULL,NULL,689,0,NULL,-2,1,-2,NULL,NULL,NULL,NULL,NULL,34900,17700,53200,26000,NULL,0.7075098814,0.6561264822,0.5409090909
Kiamichi Technology Center-Atoka,OK,6,NULL,NULL,NULL,NULL,46,0,NULL,-2,1,-2,NULL,NULL,NULL,NULL,NULL,23700,11700,37500,25000,NULL,0.7595712098,0.6584992343,0.6063432836
Kiamichi Technology Center-Durant,OK,6,NULL,NULL,NULL,NULL,27,0,NULL,-2,1,-2,NULL,NULL,NULL,NULL,NULL,23700,11700,37500,25000,NULL,0.7595712098,0.6584992343,0.6063432836
Kiamichi Technology Center-Hugo,OK,6,NULL,NULL,NULL,NULL,55,0,NULL,-2,1,-2,NULL,NULL,NULL,NULL,NULL,23700,11700,37500,25000,NULL,0.7595712098,0.6584992343,0.6063432836
Kiamichi Technology Center-McAlester,OK,6,NULL,NULL,NULL,NULL,523,0,NULL,-2,1,-2,NULL,NULL,NULL,NULL,NULL,23700,11700,37500,25000,NULL,0.7595712098,0.6584992343,0.6063432836
Kiamichi Technology Center-Idabel,OK,6,NULL,NULL,NULL,NULL,49,0,NULL,-2,1,-2,NULL,NULL,NULL,NULL,NULL,23700,11700,37500,25000,NULL,0.7595712098,0.6584992343,0.6063432836
Kiamichi Technology Center-Poteau,OK,6,NULL,NULL,NULL,NULL,295,0,NULL,-2,1,-2,NULL,NULL,NULL,NULL,NULL,23700,11700,37500,25000,NULL,0.7595712098,0.6584992343,0.6063432836
Kiamichi Technology Center-Spiro,OK,6,NULL,NULL,NULL,NULL,43,0,NULL,-2,1,-2,NULL,NULL,NULL,NULL,NULL,23700,11700,37500,25000,NULL,0.7595712098,0.6584992343,0.6063432836
Kiamichi Technology Centers-Talihina Campus,OK,6,NULL,NULL,NULL,NULL,49,0,NULL,-2,1,-2,NULL,NULL,NULL,NULL,NULL,23700,11700,37500,25000,NULL,0.7595712098,0.6584992343,0.6063432836
YTI Career Institute-Altoona,PA,2,NULL,NULL,NULL,NULL,172,0.7129,NULL,4,3,1,15884,17073,14972,20813,20813,23300,13100,31900,15600,3877,0.6264150943,0.5396226415,0.5606694561
Eastern Center for Arts and Technology,PA,2,NULL,NULL,0.8,NULL,59,0.6822,NULL,-2,1,-2,NULL,NULL,NULL,NULL,NULL,48900,30200,61200,23200,NULL,0.4580645161,0.864516129,0.5714285714
Empire Beauty School-Center City Philadelphia,PA,2,NULL,NULL,NULL,NULL,317,0.8422,NULL,-2,3,-2,15874,18136,19226,20925,NULL,16500,8100,28000,15200,NULL,0.7854232684,0.5998189226,0.5279615153
CEM College-Humacao,PR,9,NULL,0.8367,NULL,0.4241,370,0.2591,0.1002,11,3,6,6003,6510,10983,NULL,NULL,19000,10000,28000,22700,2633,0.9181659896,0.4556006965,0.6864295125
Colegio Mayor de Tecnologia Inc,PR,9,NULL,NULL,NULL,NULL,62,0,NULL,-2,3,-2,8247,NULL,NULL,NULL,NULL,16100,7800,24900,28800,NULL,0.953002611,0.3603133159,0.5780141844
Institucion Chaviano de Mayaguez,PR,9,NULL,NULL,NULL,NULL,90,0,NULL,-2,3,-2,5652,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,PrivacySuppressed,0.5743243243,0.5517241379
EDIC College,PR,9,NULL,0.8,0.78634146341463,0.4301,2378,0.3603,0,9,3,9,4284,5986,7327,NULL,NULL,17700,10500,24900,15400,2417,0.9112929624,0.4389525368,0.396
Liceo de Arte-Dise-O y Comercio,PR,9,NULL,NULL,NULL,NULL,197,0,NULL,-2,3,-2,5624,7115,NULL,NULL,NULL,15800,9100,21000,14800,NULL,0.9547511312,0.4705882353,0.3438395415
Universal Technology College of Puerto Rico,PR,9,NULL,0.25,NULL,0.6402,285,0,0.0035,10,2,6,5814,6789,7244,NULL,NULL,17000,10000,27400,15200,1808,0.9409221902,0.4596541787,0.6040609137
Academy of Hair Technology,SC,5,NULL,NULL,NULL,NULL,87,0.4027,NULL,-2,3,-2,12813,13173,NULL,NULL,NULL,17600,7400,26200,15800,NULL,0.7027027027,0.7027027027,0.4947368421
Mr Wayne's School of Unisex Hair Design,TN,5,NULL,NULL,NULL,NULL,56,0.4107,NULL,-2,3,-2,12525,10658,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,0.6818181818,0.4772727273,0.5294117647
Queen City College,TN,5,NULL,NULL,NULL,NULL,105,0.4341,NULL,-2,3,-2,8767,NULL,NULL,NULL,NULL,18500,PrivacySuppressed,PrivacySuppressed,19600,NULL,0.7763975155,0.8819875776,0.5254237288
College of the Marshall Islands,MH,9,NULL,NULL,NULL,NULL,1024,0,NULL,3,1,2,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,2258,0.9438669439,0.1268191268,0.5945611867
Remington College-Fort Worth Campus,TX,6,NULL,0.5,NULL,0.7181,558,0.6222,0,10,2,6,22243,21185,23364,26510,26960,26800,14900,37300,17800,4252,0.8103864734,0.7223320158,0.5946662943
UCAS University of Cosmetology Arts & Sciences,TX,6,NULL,NULL,NULL,NULL,26,0.1875,NULL,-2,3,-2,NULL,NULL,NULL,NULL,NULL,14300,PrivacySuppressed,PrivacySuppressed,15100,NULL,0.8271604938,0.8518518519,0.6875
School of Automotive Machinists & Technology,TX,6,NULL,NULL,0.88461538461538,NULL,163,0.4576,NULL,4,3,1,21731,21160,24053,25642,25964,51400,PrivacySuppressed,PrivacySuppressed,39100,4943,0.4866666667,0.5266666667,0.4881889764
SW School of Business and Technical Careers-Cosmetology,TX,6,NULL,NULL,NULL,NULL,20,0.8537,NULL,-2,3,-2,10683,11627,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,0.7755102041,0.7346938776,0.6176470588
SW School of Business and Technical Careers,TX,6,NULL,NULL,NULL,NULL,50,0.8451,NULL,-2,3,-2,10975,11031,NULL,NULL,NULL,18300,PrivacySuppressed,PrivacySuppressed,11400,NULL,0.7283236994,0.5953757225,0.625
Texas College of Cosmetology-Abilene,TX,6,NULL,NULL,NULL,NULL,73,0,NULL,-2,3,-2,12024,12756,14766,NULL,NULL,16700,9000,25000,12400,NULL,0.7574626866,0.6865671642,0.4568527919
Vista College-Online,TX,6,NULL,0.5,NULL,0.4654,565,0.669,0,10,3,6,22730,24109,25165,28618,22403,24100,11200,33300,15700,4337,0.8164794007,0.9300873908,0.5700934579
Centura College-Newport News,VA,5,NULL,NULL,NULL,NULL,179,0.7751,NULL,3,3,1,24558,25714,NULL,NULL,NULL,21900,11300,34400,19500,4476,0.8110294118,0.7816176471,0.5207156309
Centura College-Norfolk,VA,5,NULL,NULL,NULL,NULL,193,0.8284,NULL,3,3,1,24347,25123,28033,NULL,29882,21900,11300,34400,19500,4071,0.8110294118,0.7816176471,0.5207156309
Virginia Beach City Public Schools School of Practical Nursing,VA,5,NULL,NULL,NULL,NULL,26,0,NULL,-2,1,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Northwest College of Art & Design,WA,8,0.3889,0.85,NULL,0.6667,85,0.8061,0,11,3,6,16387,19667,28894,27750,28767,30600,PrivacySuppressed,PrivacySuppressed,24500,NULL,0.3174603175,PrivacySuppressed,PrivacySuppressed
University of Washington-Bothell Campus,WA,8,0.7239,0.8632,0.50026996220529,0.6362,5329,0.3153,0,13,1,12,NULL,NULL,NULL,NULL,NULL,57700,36800,86200,58300,10695,0.3930775423,0.255343887,0.3272745332
University of Washington-Tacoma Campus,WA,8,0.65,0.76,0.50026996220529,0.5845,4412,0.4021,0,13,1,12,NULL,NULL,NULL,NULL,NULL,57700,36800,86200,58300,9772,0.3930775423,0.255343887,0.3272745332
Valley College-Beckley,WV,5,NULL,NULL,NULL,NULL,130,0.9779,NULL,4,3,1,24817,25434,27403,29553,31107,20600,9700,31200,17300,4518,0.816254417,0.8356890459,0.635021097
Valley College-Martinsburg,WV,5,NULL,NULL,NULL,NULL,437,0.9257,NULL,4,3,1,24347,24485,27097,29947,30522,22100,PrivacySuppressed,PrivacySuppressed,17100,4318,0.764,0.81,0.6305418719
Valley College-Princeton,WV,5,NULL,NULL,NULL,NULL,104,0.7427,NULL,4,3,1,25188,24261,25529,31377,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,4507,0.8607142857,0.7892857143,0.6502242152
Bellus Academy-Poway,CA,8,NULL,NULL,NULL,NULL,387,0.4806,NULL,-2,3,-2,17629,NULL,NULL,NULL,NULL,25900,11300,42500,25700,NULL,0.5771725032,0.6186770428,0.4360902256
Capstone College,CA,8,NULL,NULL,NULL,NULL,25,0.7742,NULL,-2,3,-2,14690,15444,16905,NULL,NULL,26200,13600,39200,20100,NULL,0.6666666667,0.7121212121,0.5918367347
Central Coast College,CA,8,NULL,NULL,NULL,NULL,181,0.4964,NULL,3,3,1,21445,NULL,NULL,NULL,NULL,31200,17100,40200,18300,5006,0.649068323,0.5217391304,0.6567164179
Pacific College of Oriental Medicine-San Diego,CA,8,NULL,NULL,NULL,0.3333,142,0.5231,0,5,3,6,21635,23348,24421,NULL,24921,22600,PrivacySuppressed,PrivacySuppressed,24000,5366,0.6714697406,0.8270893372,0.4090909091
Artistic Nails and Beauty Academy-Tampa,FL,5,NULL,NULL,NULL,NULL,139,0.4389,NULL,-2,3,-2,12355,16687,NULL,NULL,NULL,16900,PrivacySuppressed,PrivacySuppressed,15400,NULL,0.8310502283,0.7648401826,0.6037151703
National Aviation Academy of Tampa Bay,FL,5,NULL,NULL,NULL,NULL,680,0.7183,NULL,-2,3,-2,20855,20914,22128,24979,25206,43000,20500,64200,35800,NULL,0.6380952381,0.6797619048,0.439238653
Madison Oneida BOCES-Practical Nursing Program,NY,2,NULL,NULL,0.6,NULL,42,0.869,NULL,-2,1,-2,NULL,NULL,NULL,NULL,NULL,29600,14700,37800,20000,NULL,0.756097561,0.8292682927,0.5454545455
Astrodome Career Centers,TX,6,NULL,NULL,NULL,NULL,82,0.4468,NULL,-2,3,-2,12578,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7346938776,0.6734693878,0.7058823529
Center for Advanced Legal Studies,TX,6,NULL,NULL,NULL,NULL,219,0.6479,NULL,4,3,1,15370,15924,15903,18783,NULL,41200,21400,56600,26200,4878,0.64375,0.9375,0.4865900383
Houston Training School-Main Campus,TX,6,NULL,NULL,NULL,NULL,93,0,NULL,-2,3,-2,3995,3568,NULL,NULL,NULL,17300,10600,29000,16200,NULL,0.8326474623,0.8079561043,0.6404494382
Bay Mills Community College,MI,3,NULL,NULL,NULL,NULL,411,0,NULL,2,1,1,NULL,NULL,NULL,NULL,NULL,23200,10200,33300,18300,5009,0.6666666667,0.6414141414,0.5614035088
Fond du Lac Tribal and Community College,MN,4,NULL,NULL,NULL,NULL,699,0.217,NULL,1,1,2,NULL,NULL,NULL,NULL,NULL,32400,15600,51500,25500,7589,0.6495468278,0.5604229607,0.3989169675
Northwest Indian College,WA,8,0.4286,0.4242,NULL,0.099,488,0,0.2,6,1,6,NULL,NULL,NULL,NULL,NULL,27900,6000,42800,24200,4651,0.7418181818,0.6872727273,0.4666666667
Provo College,UT,7,NULL,0.9054,NULL,0.5357,502,0.8768,0.0208,7,3,6,16994,18643,19909,20447,NULL,23600,11500,36300,20900,5400,0.5437100213,0.7121535181,0.3752913753
Paul Mitchell the School-Provo,UT,7,NULL,NULL,NULL,NULL,125,0.4969,NULL,-2,3,-2,8740,10211,11632,13377,14265,21200,10200,37000,41300,NULL,0.6006727535,0.488226814,0.430578977
University of Phoenix-Utah,UT,7,0.2366,0.2105,NULL,0.141,122,0.3184,0,0,3,6,15063,NULL,NULL,NULL,NULL,47100,27500,72500,43400,NULL,0.6798225091,0.9187252925,0.5435338797
Cortiva Institute-Salt Lake,UT,7,NULL,NULL,NULL,NULL,175,0.9119,NULL,-2,3,-2,21910,23079,23920,25359,NULL,26000,13000,39900,21900,NULL,0.6617730096,0.662055336,0.4613402062
CET-Coachella,CA,8,NULL,NULL,NULL,NULL,102,0.355,NULL,-2,2,-2,11844,10327,15029,NULL,NULL,23800,12600,37400,21600,NULL,0.8006069803,0.7053110774,0.6925388082
CET-Oxnard,CA,8,NULL,NULL,NULL,NULL,117,0.2115,NULL,-2,2,-2,11500,7572,13494,NULL,NULL,23800,12600,37400,21600,NULL,0.8006069803,0.7053110774,0.6925388082
CET-Santa Maria,CA,8,NULL,NULL,NULL,NULL,137,0.2773,NULL,-2,2,-2,7673,13702,11883,19667,NULL,23800,12600,37400,21600,NULL,0.8006069803,0.7053110774,0.6925388082
Colorado School of Traditional Chinese Medicine,CO,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,3,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Massage Therapy Institute of Colorado,CO,7,NULL,NULL,NULL,NULL,55,0.6882,NULL,-2,3,-2,32075,31359,35427,NULL,36523,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,0.7162162162,0.7837837838,PrivacySuppressed
Michigan College of Beauty-Troy,MI,3,NULL,NULL,NULL,NULL,318,0.7909,NULL,-2,3,-2,14528,18923,NULL,18923,18923,19800,10100,35100,21500,NULL,0.7275362319,0.6695652174,0.4965034965
Ogle School Hair Skin Nails-Dallas,TX,6,NULL,NULL,NULL,NULL,288,0.6984,NULL,-2,3,-2,16483,16612,18285,19688,19689,19800,10700,34600,19400,NULL,0.6808510638,0.6162876009,0.5090744102
Phoenix Seminary,AZ,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7465,NULL,NULL,NULL
Faust Institute of Cosmetology-Spirit Lake,IA,4,NULL,NULL,NULL,NULL,11,0.4737,NULL,-2,3,-2,NULL,7762,12777,13777,13777,17000,PrivacySuppressed,PrivacySuppressed,13200,NULL,0.65,0.625,PrivacySuppressed
Cheeks Beauty Academy,CO,7,NULL,NULL,NULL,NULL,30,0.5882,NULL,-2,3,-2,10840,11059,14559,14859,NULL,17300,7500,29300,15300,NULL,0.7589285714,0.7142857143,0.3888888889
Colorado School of Healing Arts,CO,7,NULL,NULL,NULL,NULL,97,0.7209,NULL,3,3,1,27233,30637,26890,30907,NULL,23600,10000,38000,24900,NULL,0.5704697987,0.7583892617,PrivacySuppressed
Healing Arts Institute,CO,7,NULL,NULL,NULL,NULL,54,0.4024,NULL,-2,3,-2,23371,22860,24023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6388888889,0.7638888889,PrivacySuppressed
Los Angeles ORT College-Van Nuys Campus,CA,8,NULL,NULL,NULL,NULL,291,0.1781,NULL,4,2,1,13186,14963,15501,16255,NULL,21500,10100,39300,27600,NULL,0.934298441,0.8541202673,0.6913407821
University of Phoenix-Puerto Rico,PR,9,0.3137,NULL,NULL,0.25,44,0.3241,0,0,3,6,NULL,NULL,NULL,NULL,NULL,47100,27500,72500,43400,NULL,0.6798225091,0.9187252925,0.5435338797
Mt. Diablo Adult Education-Mt. Diablo USD,CA,8,NULL,NULL,NULL,NULL,140,0,NULL,-2,1,-2,NULL,NULL,NULL,NULL,NULL,26300,PrivacySuppressed,PrivacySuppressed,23100,NULL,0.6732673267,0.6435643564,0.6
Royale College of Beauty and Barbering,CA,8,NULL,NULL,NULL,NULL,72,0.3758,NULL,-2,3,-2,12465,NULL,16649,12298,NULL,15400,6300,28300,19000,NULL,0.6280991736,0.7685950413,0.5648148148
Greater Lowell Technical School,MA,1,NULL,NULL,1,NULL,79,0.4878,NULL,-2,1,-2,NULL,NULL,NULL,NULL,NULL,54800,PrivacySuppressed,PrivacySuppressed,37400,NULL,0.4423076923,0.7403846154,0.6279069767
Academy of Hair Design-Pearl,MS,5,NULL,NULL,NULL,NULL,52,0.589,NULL,-2,3,-2,17206,NULL,NULL,NULL,NULL,22600,PrivacySuppressed,PrivacySuppressed,13300,NULL,0.6885245902,0.5573770492,PrivacySuppressed
King's College,NC,5,NULL,NULL,0.86614173228346,NULL,314,0.9331,NULL,4,3,1,14883,15500,18356,20304,20861,27500,16400,36400,16100,4389,0.6095238095,0.16,0.5120967742
Miller-Motte Technical College-Clarksville,TN,5,NULL,NULL,NULL,NULL,186,0.6747,NULL,3,3,1,21149,25210,NULL,NULL,NULL,23500,12600,34500,17900,3592,0.8464849354,0.8454806313,0.5781619654
Genesis Career College-Lebanon,TN,5,NULL,NULL,NULL,NULL,112,0.7037,NULL,-2,3,-2,11970,12486,14265,15537,15848,16200,7000,26500,12800,NULL,0.7007874016,0.5905511811,0.5762711864
Brightwood College-Dallas,TX,6,NULL,NULL,NULL,NULL,300,0.625,NULL,4,3,1,20240,19536,20751,23380,NULL,26700,12700,41500,27600,5451,0.7354651163,0.6191860465,0.5853658537
Star College of Cosmetology 2,TX,6,NULL,NULL,NULL,NULL,60,0.5274,NULL,-2,3,-2,16236,16759,18891,19471,NULL,14400,7500,23900,15300,NULL,0.7055214724,0.5337423313,0.5461538462
Southwest Collegiate Institute for the Deaf,TX,6,NULL,NULL,NULL,NULL,92,0.1038,NULL,3,1,1,NULL,NULL,NULL,NULL,NULL,30600,16500,46600,28500,5151,0.5619771863,0.4950570342,0.5141811528
Fortis College-Richmond,VA,5,NULL,NULL,NULL,NULL,404,0.6307,NULL,4,3,1,22157,24372,25492,26650,NULL,25800,15200,36800,17800,4096,0.8016937191,0.7692307692,0.5729827743
Midwest College of Oriental Medicine-Racine,WI,3,NULL,NULL,NULL,NULL,19,NULL,NULL,5,3,6,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,3826,0.4782608696,PrivacySuppressed,PrivacySuppressed
Hacienda La Puente Adult Education,CA,8,NULL,NULL,NULL,NULL,3758,0,NULL,3,1,3,NULL,NULL,NULL,NULL,NULL,23700,11300,40000,23600,NULL,0.747311828,0.6370967742,0.6640625
La Belle Beauty Academy,FL,5,NULL,NULL,NULL,NULL,365,0.2372,NULL,-2,3,-2,20295,NULL,NULL,NULL,NULL,14900,8900,22200,10700,NULL,0.9342403628,0.8594104308,PrivacySuppressed
Advanced Technical Centers,FL,5,NULL,NULL,NULL,NULL,33,0.75,NULL,-2,2,-2,671,2579,3403,3508,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Hawaii Community College,HI,8,NULL,NULL,NULL,NULL,2173,0.0697,NULL,2,1,2,NULL,NULL,NULL,NULL,NULL,26600,14100,40800,22500,7909,0.7112608277,0.4812319538,0.4839424142
Robert Fiance Beauty Schools-North Plainfield,NJ,2,NULL,NULL,NULL,NULL,156,0.358,NULL,-2,3,-2,38299,35530,NULL,NULL,NULL,19300,PrivacySuppressed,PrivacySuppressed,18900,NULL,0.6968325792,0.6515837104,0.56875
Long Island Beauty School-Hauppauge,NY,2,NULL,NULL,NULL,NULL,198,0.3987,NULL,-2,3,-2,26873,NULL,NULL,NULL,NULL,20700,10900,36600,20800,NULL,0.6022988506,0.583908046,0.5305555556
Buckeye Joint Vocational School,OH,3,NULL,NULL,NULL,NULL,102,0,NULL,-2,1,-2,NULL,NULL,NULL,NULL,NULL,28800,18900,43600,22100,NULL,0.6115107914,0.5899280576,0.68
Sandusky Career Center,OH,3,NULL,NULL,NULL,NULL,82,0.7629,NULL,-2,1,-2,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,0.71875,0.75,PrivacySuppressed
Greater Altoona Career & Technology Center,PA,2,NULL,NULL,NULL,NULL,234,0.4623,NULL,-2,1,-2,NULL,NULL,NULL,NULL,NULL,28000,15800,41300,18700,NULL,0.5634328358,0.5858208955,0.5702479339
Central Texas Beauty College-Temple,TX,6,NULL,NULL,NULL,NULL,143,0,NULL,-2,3,-2,7042,7102,8968,NULL,NULL,18600,8200,28900,15500,NULL,0.7927631579,0.7269736842,0.5221238938
Erie 2 Chautauqua Cattaraugus BOCES-Practical Nursing Program,NY,2,NULL,NULL,1,NULL,131,0.9146,NULL,-2,1,-2,NULL,NULL,NULL,NULL,NULL,32800,18100,42800,18900,NULL,0.7583333333,0.8583333333,0.3548387097
Empire Beauty School-Brooklyn,NY,2,NULL,NULL,NULL,NULL,126,0.5784,NULL,-2,3,-2,15457,15551,17274,20394,20394,17300,10100,33700,22900,NULL,0.7613941019,0.5951742627,0.5064615385
Houston Training School-Gulfgate,TX,6,NULL,NULL,NULL,NULL,129,0,NULL,-2,3,-2,4313,5027,7374,NULL,NULL,17300,10600,29000,16200,NULL,0.8326474623,0.8079561043,0.6404494382
Antonelli College-Hattiesburg,MS,5,NULL,NULL,NULL,NULL,192,0.8032,NULL,4,3,1,22375,27619,NULL,NULL,NULL,20300,10800,32900,17100,3685,0.8909224012,0.859443631,0.5314995563
Eastern New Mexico University Ruidoso Branch Community College,NM,6,NULL,NULL,0.6044578768417,NULL,398,0.0819,NULL,1,1,1,NULL,NULL,NULL,NULL,NULL,29500,15500,46700,27800,5498,0.505229284,0.3829444891,0.4558617468
United Education Institute-Ontario,CA,8,NULL,NULL,NULL,NULL,410,0.5541,NULL,-2,3,-2,25170,24294,26840,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8159141931,0.6077575455,0.6324638931
United Education Institute-Encino,CA,8,NULL,NULL,NULL,NULL,623,0.5398,NULL,-2,3,-2,23877,24446,25462,28205,28478,NULL,NULL,NULL,NULL,NULL,0.8159141931,0.6077575455,0.6324638931
Beacon College,FL,5,0.7368,0.7778,0.5287356321839,0.6471,348,0.4331,0.0807,15,2,8,33149,33144,39003,40652,43304,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,5205,0.404109589,0.2534246575,0.1911764706
Acupuncture and Integrative Medicine College-Berkeley,CA,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2,18,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL
Estrella Mountain Community College,AZ,6,NULL,NULL,NULL,NULL,7709,0.1677,NULL,1,1,4,NULL,NULL,NULL,NULL,NULL,33800,18400,48800,28500,7367,0.5288590604,0.433557047,0.5426128774
Heartland Community College,IL,3,NULL,NULL,NULL,NULL,3677,0.1821,NULL,2,1,3,NULL,NULL,NULL,NULL,NULL,26600,14600,43100,23100,7195,0.5379876797,0.3264887064,0.3966512702
University of the Potomac-Washington DC Campus,DC,2,0.375,0.4857,NULL,0.1458,65,0.125,0,11,3,6,20155,21368,NULL,NULL,NULL,47600,26400,79100,41200,1667,0.527027027,0.8243243243,0.4833333333
Rabbi Jacob Joseph School,NJ,2,0.1818,0.8776,0.93939393939393,0.0476,86,0,0.4737,11,2,8,10675,NULL,NULL,9200,NULL,NULL,NULL,NULL,NULL,2917,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
The Salon Professional Academy-Melbourne,FL,5,NULL,NULL,NULL,NULL,73,0.7527,NULL,-2,3,-2,13479,12847,14528,17002,15752,15200,PrivacySuppressed,PrivacySuppressed,13600,NULL,0.7704081633,0.6836734694,0.4418604651
Fortis Institute-Scranton,PA,2,NULL,NULL,NULL,NULL,287,0.7242,NULL,4,3,1,28109,29557,31287,33936,33936,22900,11400,32700,15500,5076,0.760391198,0.6185819071,0.5434782609
Milan Institute of Cosmetology,NV,8,NULL,NULL,NULL,NULL,64,0.4191,NULL,-2,3,-2,18160,18687,21239,21239,21239,18300,10700,28500,14200,NULL,0.7505707763,0.6312785388,0.5790322581
Everglades University,FL,5,0.4083,0.6161,0.73435419440745,0.5063,2099,0.5031,0,12,2,9,26397,27364,28027,29034,30354,42100,21200,73100,36500,4699,0.6040268456,0.8734419942,0.4180238871
Seminar L'moros Bais Yaakov,NY,2,NULL,NULL,0.88062622309197,NULL,405,0,NULL,4,2,1,14021,14151,13969,15408,NULL,17800,11900,25200,19200,4826,0.6043165468,PrivacySuppressed,PrivacySuppressed
Herzing University-Winter Park,FL,5,0,0.6364,0.79408284023668,0.2917,506,0.8742,0,9,2,6,20715,25527,18551,NULL,NULL,37800,22900,54700,27900,6025,0.6933148684,0.8592471358,0.5209032652
Fairview Beauty Academy,OH,3,NULL,NULL,NULL,NULL,35,0,NULL,-2,3,-2,5162,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Cortiva Institute-Pompano,FL,5,NULL,NULL,NULL,NULL,181,0.8599,NULL,4,3,1,22421,23383,24769,25063,NULL,24700,11700,39400,22900,2531,0.7368421053,0.6825396825,0.4219512195
National College-Nashville,TN,5,NULL,NULL,NULL,NULL,207,0.6906,NULL,2,3,1,21547,NULL,NULL,NULL,NULL,24500,14000,35600,15700,2552,0.889261745,0.8691275168,0.6082474227
College of Biblical Studies-Houston,TX,6,0,0.4167,NULL,0.25,420,0.4905,0.1429,5,2,6,12151,15662,NULL,NULL,NULL,39900,18800,56100,35600,5047,0.536036036,0.9144144144,0.5088757396
Inner State Beauty School,OH,3,NULL,NULL,NULL,NULL,102,0,NULL,-2,3,-2,8313,8156,NULL,NULL,NULL,15500,PrivacySuppressed,PrivacySuppressed,10600,NULL,PrivacySuppressed,0.7722772277,0.52
Virginia College-Pensacola,FL,5,NULL,NULL,NULL,NULL,285,0.7772,NULL,3,3,1,23085,23402,25617,NULL,28671,24600,13900,37600,20800,4791,0.8218329525,0.7521198274,0.5505912432
Mid-EastCTC-Adult Education,OH,3,NULL,NULL,NULL,NULL,184,0.8039,NULL,-2,1,-2,NULL,NULL,NULL,NULL,NULL,30700,18100,43600,21800,NULL,0.6549865229,0.6765498652,0.5753846154
